AudioFile,Volume,Sentence
spf_270.wav,1,You knew about the clip
spf_157.wav,4,The steamship left on a cruise
spf_183.wav,4,The woman talked about the frogs
spf_267.wav,5,The fruit was shipped in wooden crates
spf_116.wav,2,He could discuss the bread
spf_239.wav,5,A chimpanzee is an ape
spf_85.wav,2,Tom is considering the clock
spf_295.wav,2,Get the bread and cut me a slice
spf_110.wav,2,Tom will discuss the swan
spf_211.wav,3,Betty knew about the nap
spf_158.wav,1,Miss Smith considered the scare
spf_13.wav,1,Hold the baby on your lap
spf_298.wav,3,The candle burned with a bright flame
spf_164.wav,5,Ruth poured herself a cup of tea
spf_108.wav,1,Watermelons have lots of seeds
spf_215.wav,4,Eve was made from Adam’s rib
spf_151.wav,4,He hears she asked about the deck
spf_228.wav,5,The house was robbed by a thief
spf_27.wav,1,I had not thought about the growl
spf_16.wav,5,Ruth hopes he heard about the hips
spf_186.wav,4,They did not discuss the screen
spf_282.wav,1,He rode off in a cloud of dust
spf_32.wav,1,The beer drinkers raised their mugs
spf_78.wav,2,You had a problem with the blush
spf_94.wav,1,The farmer baled the hay
spf_125.wav,3,Mr. Brown carved the roast beef
spf_146.wav,1,We shipped the furniture by truck
spf_3.wav,2,Miss White won’t think about the crack
spf_196.wav,5,Bill can’t have considered the wheels
spf_266.wav,1,The class should consider the flood
spf_283.wav,2,Miss Brown might consider the coast
spf_162.wav,3,The meat from a pig is called pork
spf_135.wav,3,The man spoke about the clue
spf_2.wav,5,Stir your coffee with a spoon
spf_6.wav,1,The old train was powered by steam
spf_121.wav,3,The storm broke the sailboat’s mast
spf_276.wav,1,A termite looks like an ant
spf_181.wav,5,The lion gave an angry roar
spf_68.wav,2,She hopes Jane called about the calf
spf_87.wav,5,You should not speak about the braids
spf_104.wav,4,We’re discussing the sheets
spf_70.wav,3,She shortened the hem of her skirt
spf_174.wav,1,She wore a feather in her cap
spf_28.wav,5,The scarf was made of shiny silk
spf_102.wav,4,The king wore a golden crown
spf_48.wav,2,He was scared out of his wits
spf_268.wav,2,I’m talking about the bench
spf_231.wav,3,Tom had spoken about the pill
spf_285.wav,1,The bloodhound followed the trail
spf_145.wav,4,Mr. White spoke about the firm
spf_258.wav,2,The candle flame melted the wax
spf_176.wav,3,Mary could not discuss the tack
spf_271.wav,3,The boy had considered the mink
spf_141.wav,4,Bill heard Tom called about the coach
spf_79.wav,2,The flood took a heavy toll
spf_77.wav,3,The ship’s captain summoned his crew
spf_44.wav,5,We’re lost so let’s look at the map
spf_281.wav,4,Mr. White spoke about the jail
spf_204.wav,4,Mr. Brown can’t discuss the slot
spf_180.wav,5,We’re glad Bill heard about the ash
spf_278.wav,3,The class is discussing the wrist
spf_259.wav,1,I haven’t discussed the sponge
spf_56.wav,3,The ducks swam around on the pond
spf_71.wav,5,The baby slept in his crib
spf_209.wav,5,David might consider the fun
spf_64.wav,5,Ruth poured the water down the drain
spf_244.wav,3,To store his wood he built a shed
spf_51.wav,4,Wipe your greasy hands on that rag
spf_143.wav,5,Jane has spoken about the chest
spf_187.wav,3,Her entry should win first prize
spf_107.wav,5,Betty considered the bark
spf_188.wav,3,Paul wants to speak about the bugs
spf_238.wav,5,Ann works in the bank as a clerk
spf_113.wav,3,You’d been considering the geese
spf_198.wav,3,Your knees and your elbows are joints
spf_63.wav,2,The cushion was filled with foam
spf_19.wav,3,They had a problem with the cliff
spf_103.wav,2,The girl swept the floor with a broom
spf_182.wav,4,The sandal has a broken strap
spf_251.wav,3,"Instead of a fence, plant a hedge"
spf_250.wav,5,The fireman heard her frightened scream
spf_95.wav,4,The natives built a wooden hut
spf_184.wav,4,Nancy should consider the fist
spf_17.wav,4,The war was fought with armored tanks
spf_237.wav,3,Mary can’t consider the tide
spf_55.wav,2,Paul hit the water with a splash
spf_249.wav,3,The airplane went into a dive
spf_248.wav,1,Mary knows about the rug
spf_191.wav,2,A zebra has black and white stripes
spf_286.wav,4,Tom could have thought about the sport
spf_199.wav,3,Mr. Smith spoke about the aid
spf_246.wav,1,They heard I asked about the bet
spf_83.wav,3,The policeman captured the crook
spf_234.wav,2,The secret agent was a spy
spf_263.wav,3,Ruth will consider the herd
spf_167.wav,2,How did your car get that dent
spf_190.wav,3,You’re glad she called about the bowl
spf_74.wav,2,The guests were welcomed by the host
spf_57.wav,1,Ruth must have known about the pie
spf_101.wav,1,You want to talk about the ditch
spf_50.wav,1,I’ve spoken about the pile
spf_247.wav,4,The mouse was caught in the trap
spf_233.wav,4,"It’s getting dark, so light the lamp"
spf_49.wav,1,We spoke about the knob
spf_280.wav,5,They hope he heard about the rent
spf_219.wav,3,We’ve been thinking about the fan
spf_58.wav,2,The man should discuss the ox
spf_383.wav,5,Paul has a problem with the belt
spf_91.wav,4,Follow this road around the bend
spf_137.wav,1,Please wipe your feet on the mat
spf_47.wav,1,My son has a dog for a pet
spf_67.wav,2,The sport shirt has short sleeves
spf_25.wav,3,They tracked the lion to his den
spf_207.wav,2,Miss Brown shouldn’t discuss the sand
spf_291.wav,4,The doctor charged a low fee
spf_243.wav,1,Paul hopes we heard about the loot
spf_262.wav,5,Ruth had a necklace of glass beads
spf_1.wav,5,His plan meant taking a big risk
spf_288.wav,4,He should consider the roast
spf_272.wav,5,She might consider the pool
spf_133.wav,4,How much can I buy for a dime
spf_257.wav,2,The widow’s sob expressed her grief
spf_111.wav,1,Kill the bugs with this spray
spf_99.wav,5,He heard they called about the lanes
spf_178.wav,2,The cabin was made of logs
spf_45.wav,4,No one was injured in the crash
spf_220.wav,4,Jane didn’t think about the brook
spf_275.wav,1,He got drunk in the local bar
spf_61.wav,1,The cigarette smoke filled his lungs
spf_93.wav,5,Miss Black would consider the bone
spf_148.wav,5,She’s spoken about the bomb
spf_152.wav,4,Raise the flag up the pole
spf_9.wav,4,Let’s decide by tossing a coin
spf_66.wav,2,This nozzle sprays a fine mist
spf_194.wav,1,I hope Paul asked about the mate
spf_22.wav,5,The witness took a solemn oath
spf_163.wav,2,The old man considered the kick
spf_289.wav,2,Miss Brown spoke about the cave
spf_284.wav,2,Bill didn’t discuss the hen
spf_23.wav,2,We could consider the feast
spf_131.wav,4,He is considering the throat
spf_134.wav,5,We can’t consider the wheat
spf_261.wav,4,You were considering the gang
spf_117.wav,3,He tossed the drowning man a rope
spf_21.wav,1,You heard Jane called about the van
spf_73.wav,4,The girl talked about the gin
spf_166.wav,2,Paul could not consider the rim
spf_195.wav,1,Miss Brown will speak about the grin
spf_214.wav,3,He hasn’t considered the dart
spf_75.wav,5,Mary should think about the sword
